DEVTYPE_Academia,DEVTYPE_BackEnd,DEVTYPE_Blockchain,DEVTYPE_DataScienceAndAI,DEVTYPE_DevSupport,DEVTYPE_ExecutiveManagement,DEVTYPE_FrontEnd,DEVTYPE_FullStack,DEVTYPE_Management,DEVTYPE_Native,DEVTYPE_ResearchAndDevelopment,age,ai_sent,ai_threat,comp_usd,country,ed_level,home_gni,org_size,per_gni,remote_work,years_code_pre_pro
False,False,False,True,False,False,False,False,False,False,False,1,2,-1.0,7323.6,pakistan,1,1430.0,4,5.12,1,2.0
False,False,False,True,False,False,False,False,False,False,False,3,2,-1.0,91987.0,turkey,6,13150.0,3,7.0,2,9.0
False,True,False,False,False,False,False,False,False,False,False,2,2,-1.0,110000.0,united states,3,83660.0,2,1.31,2,0.0
False,False,False,False,False,False,False,False,True,False,False,3,-1,-1.0,161577.4,united kingdom of great britain and northern ireland,7,48610.0,6,3.32,1,14.0
False,False,False,False,False,False,False,False,True,False,False,4,1,-1.0,121419.5,united kingdom of great britain and northern ireland,6,48610.0,3,2.5,2,7.0
False,False,False,False,False,False,True,False,False,False,False,4,1,-1.0,195000.0,united states,3,83660.0,6,2.33,2,8.0
False,False,False,False,False,False,True,False,False,False,False,3,0,-1.0,80082.8,greece,6,23030.0,3,3.48,2,5.0
False,False,False,False,False,False,True,False,False,False,False,2,-1,-1.0,67096.4,italy,3,38290.0,4,1.75,2,2.0
False,False,False,False,False,False,False,True,False,False,False,3,1,1.0,125253.8,united kingdom of great britain and northern ireland,5,48610.0,4,2.58,2,5.0
False,False,False,False,True,False,False,False,False,False,False,2,0,-1.0,230000.0,united states,5,83660.0,4,2.75,2,9.0
False,False,False,False,False,False,False,False,False,True,False,2,1,-1.0,146981.5,united kingdom of great britain and northern ireland,5,48610.0,3,3.02,2,2.0
False,False,False,False,False,False,True,False,False,False,False,1,0,-1.0,12323.4,russian federation,1,15320.0,3,0.8,0,6.0
False,False,False,False,False,False,True,False,False,False,False,2,0,-1.0,70343.0,germany,6,54960.0,2,1.28,1,4.0
False,True,False,False,False,False,False,False,False,False,False,2,-1,-1.0,102668.31,france,5,45180.0,0,2.27,1,2.0
False,True,False,False,False,False,False,False,False,False,False,4,0,-1.0,300000.0,united states,7,83660.0,6,3.59,1,10.0
False,True,False,False,False,False,False,False,False,False,False,2,0,1.0,55192.2,france,6,45180.0,1,1.22,0,10.0
False,False,False,False,False,False,False,False,False,True,False,4,1,-1.0,255500.0,canada,6,53340.0,8,4.79,1,6.0
False,False,False,False,False,False,False,False,False,True,False,3,2,-1.0,28137.2,germany,6,54960.0,4,0.51,0,13.0
False,False,False,False,False,False,False,True,False,False,False,2,1,0.0,37260.0,brazil,3,9950.0,4,3.74,2,0.0
