currency,usd_rate
AED,0.27226
AFN,0.01415
ALL,0.01075
AMD,0.002546
ANG,0.5549
AOA,0.001149
ARS,0.001092704
AUD,0.659630607
AZN,0.5882
BAM,0.5533
BDT,0.008677
BGN,0.5532
BOB,0.1446
BRL,0.1863
BYN,0.3063
CAD,0.73
CHF,1.1363
CLP,0.00106
CNY,0.1393
COP,0.0002461
CRC,0.00194
CZK,0.04308
DKK,0.1451
DOP,0.01682
DZD,0.007455
EGP,0.02274
ETB,0.01382
EUR,1.0822
GBP,1.2781
GEL,0.368
GHS,0.06974
GTQ,0.1288
HKD,0.1282
HUF,0.002738
IDR,0.00006305
ILS,0.2703
INR,0.01195
IQD,0.0007634
IRR,0.00002376
ISK,0.007249
JMD,0.006396
JOD,1.4106
JPY,0.00661
KES,0.007453
KRW,0.000734
KZT,0.002134
LKR,0.003314
MAD,0.1006
MXN,0.05488
MYR,0.2189
NGN,0.0007045
NOK,0.09304
NPR,0.007471
NZD,0.605
PEN,0.2664
PHP,0.01746
PKR,0.00359
PLN,0.2512
PYG,0.0001324
QAR,0.2745
RON,0.2175
RSD,0.009242
RUB,0.01081
RWF,0.0007595
SAR,0.2665
SDG,0.001672
SEK,0.09464
SGD,0.7484
SOS,0.00175
SYP,0.00007748
SZL,0.05462
THB,0.02839
TMT,0.2853
TND,0.3214
TRY,0.03047
TTD,0.1473
TWD,0.03116
TZS,0.0003829
UAH,0.02491
UGX,0.0002663
USD,1
UYU,0.02492
UZS,0.00007905
VES,0.02623
VND,0.00003992
XAF,0.00165
XOF,0.00165
XPF,0.009069
YER,0.003996
ZAR,0.05459
ZMW,0.03834
